"record_id","month","day","year","sex"
11,7,16,1977,"F"
17,7,16,1977,"F"
20,7,17,1977,"F"
30,7,17,1977,"F"
42,7,18,1977,"F"
58,7,18,1977,"M"
73,8,19,1977,"F"
76,8,19,1977,"F"
80,8,19,1977,"M"
91,8,20,1977,"F"
100,8,20,1977,"F"
104,8,20,1977,"M"
110,8,20,1977,
134,8,21,1977,"F"
144,8,21,1977,"M"
149,8,21,1977,"M"
153,8,21,1977,"F"
154,8,21,1977,"F"
155,8,21,1977,
159,9,11,1977,"M"
165,9,11,1977,"F"
176,9,11,1977,"M"
182,9,11,1977,"M"
184,9,11,1977,"M"
188,9,12,1977,"F"
"...",,,,
2504,,,,
