"record_id","month","day","year"
11,7,16,1977
17,7,16,1977
20,7,17,1977
30,7,17,1977
42,7,18,1977
73,8,19,1977
76,8,19,1977
91,8,20,1977
100,8,20,1977
134,8,21,1977
153,8,21,1977
154,8,21,1977
165,9,11,1977
188,9,12,1977
200,9,12,1977
206,9,12,1977
207,9,12,1977
211,9,12,1977
223,9,13,1977
236,9,13,1977
237,9,13,1977
240,9,13,1977
250,10,16,1977
252,10,16,1977
264,10,16,1977
"...",,,
1188,,,
