"record_id","recordid","mo","dy","yr","period","plot","note1","stake","species","sex","age","reprod","testes","vagina","pregnant","nipples","lactation","hfl","wgt","tag","note2","ltag","note3","prevrt","prevlet","nestdir","neststk","note4","note5"
51,7,18,1977,1,21,,31,"DM","F","Z",,,,,,,"36",,"0",,"0",,"0","0",,"0",,
52,7,18,1977,1,12,,34,"DM","F",,,,,,,"L","26",,"0",,"0",,"0","0",,"0",,
53,7,18,1977,1,22,,34,"DM","M",,,"R",,,,,"36",,"0",,"0",,"0","0",,"0",,
54,7,18,1977,1,18,,46,"DM","M","Z",,,,,,,"37",,"0",,"0",,"0","0",,"0",,
55,7,18,1977,1,23,,53,"DM","M",,,"R",,,,,"36",,"0",,"0",,"0","0",,"0",,
56,7,18,1977,1,20,,54,"DM","M","Z",,,,,,,"34",,"0",,"0",,"0","0",,"0",,
57,7,18,1977,1,22,,57,"DM",,,,,,,,,,,"0",,"0",,"0","0",,,,"E"
58,7,18,1977,1,12,,62,"DS","M","Z",,,,,,,"45",,"0",,"0",,"0","0",,"0",,
59,7,18,1977,1,19,,64,"DM","M","Z",,,,,,,"33",,"0",,"0",,"0","0",,"0",,
60,7,18,1977,1,19,,66,"PE","M","Z",,,,,,,"20",,"0",,"0",,"0","0",,"0",,
61,7,18,1977,1,23,,71,"DM","M","Z",,,,,,,"35",,"0",,"0",,"0","0",,"0",,
62,7,18,1977,1,19,,77,"DM","M",,,"S",,,,,"35",,"0",,"0",,"0","0",,"0",,
63,8,19,1977,2,3,,13,"DM","M","Z",,,,,,,"35","40","0",,"0",,"0","0",,"0",,
64,8,19,1977,2,7,,23,"DM","M",,,"S",,,,,"37","48","0",,"0",,"0","0",,"0",,
65,8,19,1977,2,4,,25,"DM","F",,,,"S",,,,"34","29","0",,"0",,"0","0",,"0",,
66,8,19,1977,2,4,,26,"DM","F",,,,,,"R",,"35","46","0",,"0",,"0","0",,"0",,
67,8,19,1977,2,7,,27,"DM","M",,,"R",,,,,"35","36","0",,"0",,"0","0",,"0",,
68,8,19,1977,2,8,,33,"DO","F","Z",,,,,,,"32","52","0",,"0",,"0","0",,"0",,
69,8,19,1977,2,2,,52,"PF","M",,,"S",,,,,"15","8","0",,"0",,"0","0",,"0",,
70,8,19,1977,2,3,,57,"OX","F",,,,,,"R",,"21","22","0",,"0",,"0","0",,"0",,
