SURVEY,YEAR,SITE,TREATMENT,BLOCK,PLOT,SPECIES,ORIGINAL_TAG,NEW_TAG,DEAD,HEIGHT,AXIS_1,AXIS_2,CIRC,MEASUREMENT,STEMS
3,2011,SOUTH,MEGA,3,S3MEGA,Balanites,1161,NA,N,3.6,4.2,3.8,52,C,1
4,2012,SOUTH,MEGA,3,S3MEGA,Balanites,1161,NA,N,3.34,4,3.8,67,C,1
5,2013,SOUTH,MEGA,3,S3MEGA,Balanites,1161,NA,N,3.5,4.2,3.3,63,C,1
1,2009,SOUTH,MEGA,3,S3MEGA,Balanites,1162,NA,N,2.15,2.07,1.82,8.3,D,5
2,2010,SOUTH,MEGA,3,S3MEGA,Balanites,1162,NA,N,2.1,2.6,2.1,25.9,D,1
3,2011,SOUTH,MEGA,3,S3MEGA,Balanites,1162,NA,N,2.65,3.8,3.6,12,C,1
4,2012,SOUTH,MEGA,3,S3MEGA,Balanites,1162,NA,N,2.85,3,3,18,C,1
5,2013,SOUTH,MEGA,3,S3MEGA,Balanites,1162,NA,N,3.35,3.4,3.3,63,C,1
1,2009,SOUTH,MEGA,3,S3MEGA,Balanites,1163,NA,N,5.09,4.1,4.85,69,C,1
2,2010,SOUTH,MEGA,3,S3MEGA,Balanites,1163,NA,N,5.1,4.7,4,22,D,1
3,2011,SOUTH,MEGA,3,S3MEGA,Balanites,1163,NA,N,5.45,6.5,5.5,55,C,1
4,2012,SOUTH,MEGA,3,S3MEGA,Balanites,1163,NA,N,5.1,6.3,5.4,65,C,1
5,2013,SOUTH,MEGA,3,S3MEGA,Balanites,1163,NA,N,4.99,6.8,6.5,86,C,1
1,2009,SOUTH,MEGA,3,S3MEGA,Balanites,1164,NA,N,4.72,6.78,4.37,82,C,1
2,2010,SOUTH,MEGA,3,S3MEGA,Balanites,1164,NA,N,4.75,6.5,5,22,D,1
3,2011,SOUTH,MEGA,3,S3MEGA,Balanites,1164,NA,N,4.6,6.6,5.1,7,C,1
4,2012,SOUTH,MEGA,3,S3MEGA,Balanites,1164,NA,N,4.45,7.5,7.1,67,C,1
5,2013,SOUTH,MEGA,3,S3MEGA,Balanites,1164,NA,N,4.9,7.1,5.5,77,C,1
1,2009,SOUTH,MEGA,3,S3MEGA,Balanites,1165,NA,N,3.99,3.71,2.24,11.5,D,6
2,2010,SOUTH,MEGA,3,S3MEGA,Balanites,1165,NA,N,3.9,3.8,2.9,27.6,D,1
3,2011,SOUTH,MEGA,3,S3MEGA,Balanites,1165,NA,N,4.1,3.8,2.6,21,C,1
4,2012,SOUTH,MEGA,3,S3MEGA,Balanites,1165,NA,N,3.75,4,2.9,20,C,1
5,2013,SOUTH,MEGA,3,S3MEGA,Balanites,1165,NA,N,3.95,4.2,3.2,30,D,1
1,2009,SOUTH,MEGA,3,S3MEGA,Balanites,1166,NA,N,3.7,1.9,2.64,16,D,2
2,2010,SOUTH,MEGA,3,S3MEGA,Balanites,1166,NA,N,3.4,2.9,2.6,15.5,D,2
3,2011,SOUTH,MEGA,3,S3MEGA,Balanites,1166,NA,N,4.2,3.6,4.2,21,C,1
4,2012,SOUTH,MEGA,3,S3MEGA,Balanites,1166,NA,N,3.55,5.7,4.1,23,C,1
5,2013,SOUTH,MEGA,3,S3MEGA,Balanites,1166,NA,N,3.98,4.6,4.4,24,D,2
1,2009,SOUTH,MEGA,3,S3MEGA,Balanites,1167,NA,N,3.72,4.67,6.93,84,C,1
2,2010,SOUTH,MEGA,3,S3MEGA,Balanites,1167,NA,N,3.9,5.3,3.3,15.4,D,2
3,2011,SOUTH,MEGA,3,S3MEGA,Balanites,1167,NA,N,4.4,5.3,4.8,NA,NA,1
4,2012,SOUTH,MEGA,3,S3MEGA,Balanites,1167,NA,N,4.1,6.6,5.6,NA,NA,1
5,2013,SOUTH,MEGA,3,S3MEGA,Balanites,1167,NA,N,4.39,5.2,4.7,NA,NA,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1201,NA,N,2.44,2.75,2.8,21.8,D,2
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1201,NA,N,2.4,2.3,3.1,17.4,D,2
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1201,NA,N,2.45,2.2,2.9,25,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1201,NA,N,2.4,1.7,2.1,20,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1201,NA,N,2.47,3.6,3.5,22.5,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1202,NA,N,2.3,1.8,2.45,11.2,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1202,NA,N,2.15,2.6,2.8,10.9,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1202,NA,N,2.35,3.2,2.9,14,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1202,NA,N,2.45,3.1,2.9,19,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1202,NA,N,2.85,4.3,4.1,22.6,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1203,NA,N,1.84,2.1,1.58,10.3,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1203,NA,N,1.85,2.1,2,11.2,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1203,NA,N,1.8,2.2,2.1,11,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1203,NA,Y,NA,NA,NA,NA,NA,NA
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1203,NA,Y,NA,NA,NA,NA,NA,NA
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1204,NA,N,1.95,2.1,1.85,15.7,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1204,NA,N,2,2.3,2.6,15.8,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1204,NA,Y,NA,NA,NA,NA,NA,NA
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1204,NA,N,1.8,2.8,3,22,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1204,NA,Y,NA,NA,NA,NA,NA,NA
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1205,NA,N,3.96,4.4,3.9,40.1,C,1
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1205,NA,N,3.95,3.8,4.6,29.8,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1205,NA,N,1.6,2.4,2.2,19,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1205,NA,N,2.8,3.6,3.9,42,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1205,NA,N,3.1,4.6,3.1,24.3,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1206,NA,N,3.62,4.1,4.5,47.5,C,1
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1206,NA,N,3.34,4,4.8,31,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1206,NA,N,3.6,4.8,4.7,50,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1206,NA,N,3.7,5.4,5.5,38,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1206,NA,N,3.73,5,4.9,51,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1207,NA,N,2.05,2.2,1.6,11,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1207,NA,N,2.2,2,1.7,9.4,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1207,NA,N,2.35,2.8,2.7,12,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1207,NA,N,2.6,3,3.4,15,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1207,NA,N,2.79,3.4,2.3,16.1,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1208,NA,N,2.44,3.1,2.8,18.2,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1208,NA,N,2.75,2.7,2.8,19.6,D,2
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1208,NA,N,2.9,4,3.6,20,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1208,NA,N,3.45,3.3,4,27,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1208,NA,N,3.39,3.5,3.1,26,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1209,NA,N,3.95,3.1,2.6,31.6,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1209,NA,N,3.85,3.5,3.2,30.9,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1209,NA,N,4.75,3.7,3,30,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1209,NA,Y,NA,NA,NA,NA,NA,NA
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1209,NA,N,4.63,4.2,3.3,60,C,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1210,NA,N,3.19,3.78,2.89,18.1,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1210,NA,N,3.35,2.8,2.7,16.1,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1210,NA,N,2.4,2.9,1.9,18,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1210,NA,Y,NA,NA,NA,NA,NA,NA
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_etbaica,1210,NA,Y,NA,NA,NA,NA,NA,NA
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1221,NA,N,1.4,1.5,1,6.2,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1221,NA,N,1.3,1.4,1.35,6.3,D,2
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1221,NA,N,1.9,1.5,1.4,8,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1221,NA,N,1.65,1.6,1.8,10,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1221,NA,N,1.79,3.1,2.9,13.1,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1222,NA,N,1.35,1.5,1.9,7.2,D,2
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1222,NA,N,1.35,1.5,1.5,7.3,D,2
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1222,NA,N,1.5,1.5,0.9,8,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1222,NA,N,1.8,2.3,1.5,14,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1222,NA,N,1.13,1.7,1.8,9,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1223,NA,N,1.94,2.4,2.5,16.4,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1223,NA,N,1.96,2.81,2.81,24.5,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1223,NA,N,2.2,3.8,2.8,24,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1223,NA,N,2.3,2.9,3.7,NA,NA,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1223,NA,N,2.87,5.8,4.1,29.2,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1224,NA,N,2.1,3.5,2.4,17.7,D,2
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1224,NA,N,2.16,2.7,2.7,16.4,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1224,NA,N,3,3.4,3.3,10,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1224,NA,N,2.7,4.5,2.9,21,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1224,NA,N,3.12,4.7,3.6,27.1,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1225,NA,N,1.25,1.9,1.1,5.2,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1225,NA,N,1.15,1.31,1.31,6.2,D,2
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1225,NA,N,1.7,2,1.8,9,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1225,NA,N,2,2,1.9,11,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1225,NA,N,2.05,2.2,2.1,13.6,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1226,NA,N,2.17,2.39,1.72,8.5,D,3
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1226,NA,N,2.25,2.1,2.1,11,D,3
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1226,NA,N,2.65,2.6,2.2,12,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1226,NA,N,1.9,1.3,1.2,12,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1226,NA,N,2.23,1.8,1.6,8.6,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1227,NA,N,2.47,1.4,1.35,12.3,D,2
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1227,NA,N,2.5,2.4,2.4,12.4,D,3
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1227,NA,N,3.1,3.6,2.5,14,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1227,NA,N,2.4,2,1.6,9,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1227,NA,N,2.83,2.5,2.3,10.1,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1228,NA,N,2.95,3.6,3.8,23.3,D,2
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1228,NA,N,2.79,4.1,4.1,23.7,D,2
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1228,NA,N,3.25,5.3,4.6,28,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1228,NA,N,3,3.9,3,27,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1228,NA,N,2.86,3.3,3.2,33,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1229,NA,N,2,3,2.6,11.3,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1229,NA,N,2.21,2.2,2.2,10.8,D,2
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1229,NA,N,2.4,3.3,2.6,15,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1229,NA,N,1.15,1.4,1.6,7,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1229,NA,Y,NA,NA,NA,NA,NA,NA
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1230,NA,N,2.3,2.65,3.1,30.4,D,4
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1230,NA,N,2.46,5.1,5.1,24.5,D,2
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1230,NA,N,2.07,4.9,3.7,10,C,2
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1230,NA,N,2.95,4.4,3.7,NA,NA,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_mellifera,1230,NA,N,3.45,5.1,3.8,40,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1241,NA,N,2.3,3.5,2.3,10,D,12
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1241,NA,N,2.4,3.4,3.3,7,D,15
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1241,NA,N,2.25,3.2,2.8,13,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1241,NA,N,2.45,2.55,3.7,16,C,10
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1241,NA,N,2.23,2.3,2.6,13,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1242,NA,N,2.72,2.5,2.8,9.9,D,5
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1242,NA,N,2.75,2.5,3.6,5.9,D,5
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1242,NA,N,2.6,2.9,2.7,9,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1242,NA,N,3.22,2,2.4,8,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1242,NA,N,3.44,2.7,3.3,8.5,D,4
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1243,NA,N,2.62,2.15,2.3,5.2,D,8
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1243,NA,N,2.62,2.4,3.3,5.4,D,8
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1243,NA,N,2.7,2.2,2.8,11,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1243,NA,N,2.9,1.5,2.45,9,C,3
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1243,NA,N,2.23,2.4,2.1,5.6,D,8
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1244,NA,N,2.89,3.2,3.5,6.2,D,6
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1244,NA,N,3.15,3.2,3.6,4.8,D,14
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1244,NA,N,2.9,4.5,4.1,9,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1244,NA,N,2.8,3.35,3.5,9,C,8
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1244,NA,N,2.7,2.2,2.1,8,D,5
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1245,NA,N,2.54,2.4,3.2,9.6,D,6
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1245,NA,N,2.75,2.6,2.5,6.2,D,7
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1245,NA,N,2.35,2.9,2.1,7,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1245,NA,N,2.2,2.5,2.35,10,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1245,NA,N,2.59,2.6,2.5,11.5,D,8
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1246,NA,N,2.82,2,2.45,8.5,D,15
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1246,NA,N,2.75,2.5,2.9,4,D,12
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1246,NA,N,3.2,3.6,2.3,10,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1246,NA,N,3,3.3,3.2,6,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1246,NA,N,3.21,3.1,2.5,7.6,D,15
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1247,NA,N,2.1,1.9,1.7,9,D,9
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1247,NA,N,1.9,1.5,1.3,8.8,D,5
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1247,NA,N,1.85,1.7,1.5,10,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1247,NA,N,1.6,1.45,1.1,10,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1247,NA,N,1.75,1.1,0.8,9.3,D,6
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1248,NA,N,2.15,3,2.4,7.3,D,4
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1248,NA,N,1.8,2.6,1.8,8.5,D,5
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1248,NA,N,2.1,1.9,1.4,10,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1248,NA,N,1.97,1.5,2.3,12,C,1
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1248,NA,N,1.92,1.7,1.5,10.2,D,3
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1249,NA,N,1.89,1.8,1.6,9.5,D,8
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1249,NA,N,1.6,2.4,3.1,5.7,D,6
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1249,NA,N,1.82,1.6,1.3,13,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1249,NA,N,1.8,0.75,0.8,8,C,5
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1249,NA,N,2,1.6,1.3,7.3,D,7
1,2009,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1250,NA,N,2.85,2.6,3.1,8.2,D,12
2,2010,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1250,NA,N,1.85,3.1,2.4,5.5,D,4
3,2011,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1250,NA,N,2.65,3.2,3,10,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1250,NA,N,2.75,2.65,2.9,10,C,9
5,2013,SOUTH,OPEN,3,S3OPEN,Acacia_brevispica,1250,NA,N,2.78,2.8,2.3,9.5,D,7
1,2009,SOUTH,OPEN,3,S3OPEN,Croton,1261,NA,N,1.15,1.1,1.3,12.3,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Croton,1261,NA,N,1.05,1.2,1.15,8.2,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Croton,1261,NA,N,1.6,1.1,0.9,6,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Croton,1261,NA,N,1.6,1.1,1.2,1,C,NA
5,2013,SOUTH,OPEN,3,S3OPEN,Croton,1261,NA,N,1.4,1.8,1.6,7.9,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Croton,1262,NA,N,2.38,3.6,3,18.3,D,4
2,2010,SOUTH,OPEN,3,S3OPEN,Croton,1262,NA,N,2.22,3.99,3.7,22,D,3
3,2011,SOUTH,OPEN,3,S3OPEN,Croton,1262,NA,N,2.4,4.1,3.7,12,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Croton,1262,NA,N,2.12,2.1,3.4,1,C,NA
5,2013,SOUTH,OPEN,3,S3OPEN,Croton,1262,NA,N,2.23,3.6,3.1,19.5,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Croton,1263,NA,N,2.12,0.8,1.1,6,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Croton,1263,NA,N,1.25,1.2,0.9,22.6,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Croton,1263,NA,N,2.2,1.4,1.2,6,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Croton,1263,NA,N,1.55,2.1,2.5,1,C,NA
5,2013,SOUTH,OPEN,3,S3OPEN,Croton,1263,NA,N,2.12,2,1.3,7.5,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Croton,1264,NA,N,2.34,3.4,2.8,10.7,D,6
2,2010,SOUTH,OPEN,3,S3OPEN,Croton,1264,NA,N,2.23,3.35,3.44,8.2,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Croton,1264,NA,N,2.35,3.7,2.9,10,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Croton,1264,NA,N,2.1,3.2,3,1,C,NA
5,2013,SOUTH,OPEN,3,S3OPEN,Croton,1264,NA,N,2.5,3.6,3.8,12.2,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Croton,1265,NA,N,1.5,1.35,1.21,8.1,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Croton,1265,NA,N,1.45,1.2,1.39,9.8,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Croton,1265,NA,N,1.7,1.7,1.4,7,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Croton,1265,NA,N,1.3,1.4,1,1,C,NA
5,2013,SOUTH,OPEN,3,S3OPEN,Croton,1265,NA,N,1.5,1.2,1.1,8,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Croton,1266,NA,N,2.7,3.2,2.7,12.9,D,6
2,2010,SOUTH,OPEN,3,S3OPEN,Croton,1266,NA,N,2.85,2.44,2.46,14.6,D,4
3,2011,SOUTH,OPEN,3,S3OPEN,Croton,1266,NA,N,3,2.9,2.5,11,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Croton,1266,NA,N,2.5,1.6,1.8,1,C,NA
5,2013,SOUTH,OPEN,3,S3OPEN,Croton,1266,NA,N,3.35,3.3,3.1,17.4,D,2
1,2009,SOUTH,OPEN,3,S3OPEN,Croton,1267,NA,N,1.43,1.85,2.55,7.8,D,3
2,2010,SOUTH,OPEN,3,S3OPEN,Croton,1267,NA,N,1.45,3.2,1.7,6,D,6
3,2011,SOUTH,OPEN,3,S3OPEN,Croton,1267,NA,N,2,2.6,1.8,7,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Croton,1267,NA,N,1.75,2.4,1.5,1,C,NA
5,2013,SOUTH,OPEN,3,S3OPEN,Croton,1267,NA,N,2.55,2.2,1.9,11.4,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Croton,1268,NA,N,1.7,4.5,1.45,7.9,D,3
2,2010,SOUTH,OPEN,3,S3OPEN,Croton,1268,NA,N,1.7,1.6,1.3,7.7,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Croton,1268,NA,N,1.8,1.5,1.5,6,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Croton,1268,NA,N,0.85,0.8,0.6,1,C,NA
5,2013,SOUTH,OPEN,3,S3OPEN,Croton,1268,NA,N,1.35,1.2,0.9,4,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Croton,1269,NA,N,2.33,1.8,2.1,7.4,D,4
2,2010,SOUTH,OPEN,3,S3OPEN,Croton,1269,NA,N,1.6,2.1,2,6.7,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Croton,1269,NA,N,1.9,2.1,2,7,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Croton,1269,NA,N,2.05,1.7,1.9,1,C,NA
5,2013,SOUTH,OPEN,3,S3OPEN,Croton,1269,NA,N,1.83,1.8,2.1,4.6,D,1
1,2009,SOUTH,OPEN,3,S3OPEN,Croton,1270,NA,N,1.15,1.15,0.7,5.7,D,1
2,2010,SOUTH,OPEN,3,S3OPEN,Croton,1270,NA,N,1.16,0.9,0.85,3.2,D,1
3,2011,SOUTH,OPEN,3,S3OPEN,Croton,1270,NA,N,1.2,0.9,8,4,C,1
4,2012,SOUTH,OPEN,3,S3OPEN,Croton,1270,NA,Y,NA,NA,NA,NA,NA,NA
