SURVEY,YEAR,SITE,TREATMENT,BLOCK,PLOT,SPECIES,ORIGINAL_TAG,NEW_TAG,DEAD,HEIGHT,AXIS_1,AXIS_2,CIRC,MEASUREMENT,STEMS
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,10,NA,N,3.44,6.65,6.5,38,D,2
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,21,NA,N,2.4,4.4,3.2,11.1,D,6
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,21,NA,N,2.4,3.2,4.3,11.6,D,5
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,21,NA,N,2.68,3.6,3.5,19,C,5
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,21,NA,N,3.15,5.2,4.7,17,C,2
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,21,NA,N,3.17,5.15,5.8,22,D,4
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,22,NA,N,1.3,2.5,3.5,6.3,D,1
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,22,NA,N,1.4,1.66,1.45,6.8,D,3
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,22,NA,N,1.2,2.6,2.4,12.5,C,6
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,22,NA,NA,NA,NA,NA,NA,NA,NA
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,22,NA,N,2.08,4.5,4.55,NA,NA,2
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,23,NA,N,2,2.6,2.4,13.7,D,1
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,23,NA,N,2.15,2.41,2.4,13.7,D,1
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,23,NA,N,2.2,1.8,2.9,17,C,1
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,23,NA,N,2.1,3.8,5.2,27,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,23,NA,N,2.18,2.8,1.65,26.1,D,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,24,NA,N,1.95,2.5,3,11.5,D,2
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,24,NA,N,2.1,2.4,8.5,11.9,D,1
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,24,NA,N,2.3,2.1,3.2,16,C,1
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,24,NA,N,2.32,2.7,3.1,28,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,24,NA,N,2.45,3.9,5.5,19,D,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,25,NA,N,2.6,2.7,3,16.4,D,1
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,25,NA,N,2.87,2.85,3.66,17.4,D,1
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,25,NA,N,2.9,3.2,5.3,23,C,2
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,25,NA,N,3.47,7.1,7,NA,NA,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,25,NA,N,3.49,6.4,6.1,NA,NA,3
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,26,NA,N,1.4,2,0.6,10.6,D,1
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,26,NA,N,1.7,2.2,2.2,13,D,1
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,26,NA,N,1.84,2,2.5,19,C,1
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,26,NA,N,2.2,5,3.9,29,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,26,NA,N,2.51,5.3,5.9,29,D,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,27,NA,N,1.55,1.9,1.9,8.4,D,3
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,27,NA,N,1.7,2.35,2.72,9.2,D,4
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,27,NA,N,1.9,2.4,2.6,16,C,2
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,27,NA,N,2.1,3.6,2.7,NA,NA,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,27,NA,N,2.1,4.1,4.4,16,D,2
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,28,NA,N,2.9,5.1,3.8,25.1,D,4
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,28,NA,N,2.95,3.2,5.1,24.4,D,3
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_mellifera,28,NA,N,3.24,5,5.05,31,C,4
