"code_vernacular","vernacular_name","scientific_name"
219,"Moboma","Anopyxis klaineana (Pierre) Engl."
340,"Zalo","Drypetes gilgiana (Pax) Pax & K.Hoffm."
281,"Ngbanda","Syzygium rowlandii Sprague"
249,"Monzombi","Strychnos L."
285,"Ngbi","Klainedoxa gabonensis Pierre ex Engl."
247,"Monzinazina","Drypetes obanensis S.Moore"
121,"Damgba","NA"
31,"Bolélé","Mammea africana Sabine"
18,"Mokoungou","Piptadeniastrum africanum (Hook.f.) Brenan"
275,"Ndombo","Diospyros mannii Hiern"
149,"Ingo","Monodora myristica (Gaertn.) Dunal"
312,"Sengui","Uapaca guineensis Müll.Arg."
253,"Mopiti","Parinari excelsa Sabine"
211,"Mobaba","Thomandersia laurifolia (T.Anderson ex Benth.) Baill."
213,"Mobaka","Albizia glaberrima (Schumach. & Thonn.) Benth."
261,"Mossétéké","Synsepalum stipulatum (Radlk.) Engl."
181,"Lolo GF.","Tabernaemontana crassa Benth."
324,"Totolo","Diospyros canaliculata De Wild."
168,"Koyo","Ficus exasperata Vahl"
666,"Molomoyembéyembé","Trichilia P.Browne"
223,"Modou","Detarium macrocarpum Harms"
242,"Monguindaguinda","Lepidobotrys staudtii Engl."
126,"Dobanga","Tridesmostemon omphalocarpoides Engl."
252,"Mopéouélé","Trema orientalis (L.) Blume"
238,"Mongombé","Croton aubrevillei J.Léonard"
102,"Bassala","Macaranga paxii Prain"
662,"Molomossomé","Hemandradenia Stapf"
293,"Nzangué (GF. ou PF.)","Xylopia aethiopica (Dunal) A.Rich., Xylopia staudtii Engl. & Diels"
215,"Mobaté","Omphalocarpum procerum P.Beauv."
156,"Kayandima GF.","NA"
700,"Molopakagamba","Ophiobotrys Gilg"
502,"Molobassala","Macaranga Thouars"
653,"Molomopiti","Parinari kerstingii Engl."
613,"Molomobaka","Albizia zygia (DC.) J.F.Macbr."
289,"Ngopa","Drypetes capillipes (Pax) Pax & K.Hoffm."
123,"Dékouloungou","Porterandia cladantha (K.Schum.) Keay"
205,"Mbobo","Pterygota bequaertii De Wild."
5,"Mokala","Afzelia bipindensis Harms"
208,"Mbounga","Synsepalum subcordatum De Wild."
543,"Mologbézélago","Pancovia harmsiana Gilg"
257,"Mossakabouma","Pseudospondias microcarpa (A.Rich.) Engl."
321,"Tenguenzambo","Polyscias fulva (Hiern) Harms"
693,"Molonzangué","Xylopia hypolampra Mildbr."
202,"Mbanzemboko","Mallotus subulatus Müll.Arg."
160,"Koloma","Breviea leptosperma (Baehni) Heine"
290,"Ngoula","Pachyelasma tessmannii (Harms) Harms"
2,"Bokoi","Entandrophragma utile (Dawe & Sprague) Sprague"
104,"Bilombi","Copaifera mildbraedii Harms"
704,"Molopo","Aphania senegalensis (Juss. ex Poir.) Radlk."
111,"Boumba","Celtis philippensis Blanco"
120,"Daka, Molobolo","Glyphaea brevis (Spreng.) Monach."
164,"Kopayoka","Rauvolfia vomitoria Afzel."
256,"Mopoupou","Croton penduliflorus Hutch."
158,"Kolé","Cleistopholis glauca Pierre ex Engl. & Diels"
128,"Dolo GF.","Caloncoba glauca (P.Beauv.) Gilg"
142,"Gbagba","Pentaclethra macrophylla Benth."
292,"Nioungou","Dacryodes edulis (G.Don) H.J.Lam"
260,"Mossanza PF.","NA"
214,"Mobaka sélé","Albizia adianthifolia (Schumach.) W.Wight"
105,"Bodinda","Massularia acuminata (G.Don) Bullock ex Hoyle"
236,"Mongaïnzoukou","Allanblackia floribunda Oliv."
112,"Bouya","Parinari kerstingii Engl."
161,"Koloméko","Pycnanthus marchalianus Ghesq."
239,"Mongonda","Balanites wilsoniana Dawe & Sprague"
302,"Pékébéa","Dictyandra arborescens Welw. ex Hook.f."
604,"Molombégné","Trichilia heudelotii Planch. ex Oliv."
200,"Magnégné","Antrocaryon klaineanum Pierre"
222,"Modinidini","Tetrorchidium didymostemon (Baill.) Pax & K.Hoffm."
13,"Ngolo","Lophira alata Banks ex C.F.Gaertn."
217,"Mobiélé","Ficus mucuso Welw. ex Ficalho"
170,"Kpakpo, Bakbo(100)","Chaetachme aristata Planch."
310,"Sembé","Albizia ferruginea (Guill. & Perr.) Benth."
210,"Mobaaba","Allanblackia floribunda Oliv."
100,"Bakoko(Issongo)","NA"
601,"Molomanzenzé","Pteleopsis hylodendron Mildbr."
163,"Kondé","Parkia filicoidea Welw. ex Oliv."
167,"Koutou","Microdesmis puberula Hook.f. ex Planch."
272,"Ndéssé","Pachystela brevipes (Baker) Engl."
564,"Molokopayoka","Rauvolfia macrophylla Stapf"
305,"Pongoli","Sterculia bequaertii De Wild."
284,"Ngbété","Manilkara pellegriniana Tisser. & Sillans"
280,"Ngbabé","Cordia platythyrsa Baker"
264,"Mototo","Spathodea campanulata P.Beauv."
41,"Mbaléké","Gambeya boukokoensis Aubrév. & Pellegr."
10,"Kido","Nauclea diderrichii (De Wild. & T.Durand) Merr."
230,"Mokpakpalakpa","Ritchiea duchesnei (De Wild.) Keay"
154,"Kassala","Bridelia Willd."
166,"Koussou","Garcinia afzelii Engl."
20,"Bouma","Ceiba pentandra (L.) Gaertn."
30,"Bolongo GF.","NA"
244,"Monzékéké","Discoglypremna caloneura (Pax) Prain"
528,"Molodolo","Caloncoba dusenii Gilg"
248,"Monzo","Ehretia cymosa Thonn."
23,"Patou, Motoua","Canarium schweinfurthii Engl."
723,"Molotola","Swartzia fistuloides Harms"
106,"Bokana","Panda oleosa Pierre"
124,"Diembé","Afrostyrax lepidophyllus Mildbr."
103,"Bassala bolo","Macaranga heudelotii Baill."
282,"Ngbangouala","Ouratea affinis (Hook.f.) Engl. ex Gilg"
180,"Lalou","Cola altissima Engl."
295,"Nzondongué","Maesopsis eminii Engl."
320,"Talé","Drypetes principum (Müll.Arg.) Hutch."
125,"Do","Irvingia gabonensis (Aubry-LeComte ex O'Rorke) Baill."
288,"Ngongambé","Picralima nitida (Stapf) T.Durand & H.Durand"
294,"Nzolobangui","Olax subscorpioidea Oliv."
233,"Mombala","Drypetes Vahl"
144,"Gombo","Barteria nigritana Hook.f."
581,"Molololo","Voacanga africana Stapf"
566,"Molokoussou","Garcinia kola Heckel"
250,"Monzonozono","Canthium subcordatum DC."
276,"Ngaïkoko","Hymenocardia ulmoides Oliv."
