SpCode	Name	Author	Synonym	Family	Habit	Pheno	WGEnd
Garcgumm	Garcinia gummiNAgutta	(L.) Robson	NA	Clusiaceae	T2	E	1
Garcindi	Garcinia indica	(Thouras) Choisy	NA	Clusiaceae	T2	E	1
Garcmore	Garcinia morella	(Gaertn.) Merr.	NA	Clusiaceae	T2	E	0
Garcpict	Garcinia pictorius	(Roxb.) DArcy	NA	Clusiaceae	T2	E	0
Garctalb	Garcinia talbotii	Raiz. & Sant.	NA	Clusiaceae	T3	E	1
Gardgumm	Gardenia gummifera	L.f.	NA	Rubiaceae	T1	E	0
Gardlati	Gardenia latifolia	Aiton	NA	Rubiaceae	T1	E	0
Gardresi	Gardenia resinifera	Roth.	NA	Rubiaceae	T1	E	0
Garupinn	Garuga pinnata	Roxb.	NA	Burseraceae	T3	E	0
Givorott	Givotia rottleriformis	Griff.	NA	Euphorbiaceae	T2	D	0
Glocelli	Glochidion ellipticum	Wt.	Glochidion malabaricum	Euphorbiaceae	T2	E	1
Glocvelu	Glochidion velutinum	Wt.	NA	Euphorbiaceae	T2	D	0
Glorsupe	Gloriosa superba	L.	NA	Liliaceae	L	E	0
Glycmacr	Glycosmis macrocarpa	Wt.	NA	Rutaceae	T2	E	1
Glycpent	Glycosmis pentaphylla	Corr.	NA	Rutaceae	T1	E	0
Gmelarbo	Gmelina arborea	Roxb.	NA	Verbenaceae	T2	D	0
Gmelasia	Gmelina asiatica	L.	NA	Verbenaceae	T1	D	0
Gnetula	Gnetum ula	Brongn.	NA	Gnetaceae	L	E	0
Gnidglau	Gnidia glauca	(Fresen.) Gilg	NA	Thymelaeaceae	T1	D	0
Gompcori	Gomphandra coriacea	Wt.	NA	Icacinaceae	T1	E	0
Gompserr	Gomphia serrata	(Gaertn.) Kanis	NA	Ochnaceae	T1	E	0
Gomptetr	Gomphandra tetrandra	(Wall. ex Roxb.) Sleumer	NA	Icacinaceae	T1	E	0
Gonicard	Goniothalamus cardiopetalus	(Dalz.) J. Hk. & Thoms.	NA	Annonaceae	T1	E	1
Gordobtu	Gordonia obtusa	Wall. ex Wt. & Arn.	NA	Theaceae	T2	E	1
Grevrobu	Grevillea robusta	R. Br.	NA	Proteaceae	T3	E	0
Grewhirs	Grewia hirsuta	Vahl.	NA	Tiliaceae	S	E	0
Grewlaev	Grewia laevigata	Vahl	NA	Tiliaceae	L	E	0
Grewmicr	Grewia micrococos	L.	NA	Tiliaceae	T1	E	0
Grewtili	Grewia tiliaefolia	Vahl	NA	Tiliaceae	T3	D	0
Grewumbe	Grewia umbellifera	Bedd.	NA	Tiliaceae	L	E	0
Haldcord	Haldina cordifolia	(Roxb.) Ridsdale	NA	Rubiaceae	T4	D	0
Harparbo	Harpullia arborea	(Blanco) Radlk.	NA	Sapindaceae	T2	E	0
Heliisor	Helicteres isora	L.	NA	Sterculiaceae	T1	D	0
Hemiindi	Hemidesmus indicus	(L.) R.Br.	NA	Asclepiadaceae	L	E	0
Hippgrah	Hippocratea grahami	L.	NA	Hippocrateaceae	L	E	0
Hiptbeng	Hiptage benghalensis	(L.) Kurz	NA	Malpighiaceae	L	E	0
Holaanti	Holarrhena antidysenterica	Wall.	NA	Apocynaceae	T1	E	0
Holiarno	Holigarna arnottiana	J. Hk.	NA	Anacardiaceae	T3	E	1
Holigrah	Holigarna grahamii	(Wt.) Kurz	NA	Anacardiaceae	T4	E	1
Holinigr	Holigarna nigra	Bourd.	NA	Anacardiaceae	T4	E	1
Holointe	Holoptelea integrifolia	(Roxb.) Planch.	NA	Ulmaceae	T2	D	0
Homazeyl	Homalium zeylanicum	(Gardner) Benth.	NA	Flacourtiaceae	T3	E	0
Hopecana	Hopea canarensis	Hole	NA	Dipterocarpaceae	T3	E	1
Hopeparv	Hopea parviflora	Bedd.	NA	Dipterocarpaceae	T4	E	1
Hopepong	Hopea ponga	(Dennst.) Mabb.	NA	Dipterocarpaceae	T3	E	1
Humbbrun	Humboldtia brunonis	Wall.	NA	Fabaceae	T1	E	1
Hydnpent	Hydnocarpus pentandra	(BuchNAHam.) Oken	Hydnocarpus laurifolia	Flacourtiaceae	T2	E	1
Hymeorix	Hymenodictyon orixense	(Roxb.) Mabberly	NA	Rubiaceae	T3	D	0
Ichnfrut	Ichnocarpus frutescens	(L.)R.Br	NA	Apocynaceae	L	E	0
Ipomsp1	Ipomea sp1	NA	NA	Convolvulaceae	L	E	0
Isonlanc	Isonandra lanceolata	Wt.	NA	Sapotaceae	T1	E	0
Ixorarbo	Ixora arborea	Roxb. ex Smith	NA	Rubiaceae	T1	E	0
Ixorbrac	Ixora brachiata	Roxb. ex DC.	NA	Rubiaceae	T2	E	1
Ixorcocc	Ixora coccinia	L.	NA	Rubiaceae	S	E	0
Ixornigr	Ixora nigricans	Br. ex Wt. & Arn.	NA	Rubiaceae	T1	E	0
Ixorpoly	Ixora polyantha	Wt.	NA	Rubiaceae	S	E	1
Jasmarbo	Jasminum arborescens	Roxb.	NA	Oleaceae	L	E	0
Jasmmala	Jasminum malabaricum	Wight	NA	Oleaceae	L	E	0
Knematte	Knema attenuata	(J. Hk. & Thw.) Warb.	NA	Myristicaceae	T3	E	1
Kunskera	Kunstleria keralense	C.N. Mohanan & N.C. Nair	NA	Fabaceae	L	E	1
Kydicaly	Kydia calycina	Roxb.	NA	Malvaceae	T3	D	0
Lagemicr	Lagerstroemia microcarpa	Wight	NA	Lythraceae	T3	D	0
Lageparv	Lagerstroemia parviflora	Roxb.	NA	Lythraceae	T3	D	0
Lageregi	Lagerstroemia reginae	Roxb.	NA	Lythraceae	T3	D	0
Lanncoro	Lannea coromandelica	(Houtt.) Merr.	NA	Anacardiaceae	T3	D	0
Lantcama	Lantana camara	L.	NA	Verbenaceae	T1	D	0
Lasiacum	Lasianthus acuminatus	Wt.	NA	Rubiaceae	S	E	1
Leeaindi	Leea indica	(Burm.f.) Merr.	NA	Leeaceae	T1	E	0
Lepidefi	Lepisanthes deficiens	Radlk.	NA	Sapindaceae	T1	E	0
Liguperr	Ligustrum perrottetii	A. DC.	NA	Oleaceae	T1	E	0
Litsflor	Litsea floribunda	Gamble	NA	Lauraceae	T2	E	1
Litsghat	Litsea ghatica	Saldanha	NA	Lauraceae	T1	E	1
Litsinsi	Litsea insignis	Gamble	NA	Lauraceae	T2	E	0
Litslaev	Litsea laevigata	(Nees) Gamble	NA	Lauraceae	T2	E	1
Litsmyso	Litsea mysorensis	Gamble	NA	Lauraceae	T1	E	1
Litsoleo	Litsea oleoides	(Meissn.) J. Hk.	NA	Lauraceae	T4	E	0
Litsstoc	Litsea stocksii	(Meissn.) J. Hk.	NA	Lauraceae	T2	E	1
Lophwigh	Lophopetalum wightianum	Arn.	NA	Celastraceae	T5	E	0
Luvusarm	Luvunga sarmentosa	(Blume) Kurz	NA	Rutaceae	L	E	0
Macapelt	Macaranga peltata	(Roxb.) M. Arg.	NA	Euphorbiaceae	T2	E	0
Madhlong	Madhuca longifolia	(Koen.) Macbride	NA	Sapotaceae	T3	D	0
Madhneri	Madhuca neriifolia	(Moon.) Lam.	NA	Sapotaceae	T2	E	0
Maesindi	Maesa indica	(Roxb.) DC.	NA	Myrsinaceae	T1	E	0
Mallphil	Mallotus philippensis	M. Arg.	NA	Euphorbiaceae	T2	E	0
Mallsten	Mallotus stenanthus	M. Arg.	NA	Euphorbiaceae	T1	E	1
Mammsuri	Mammea suriga	(Buch.NAHam. ex Roxb.) Kosterm.	NA	Clusiaceae	T2	E	1
Mangindi	Mangifera indica	L.	NA	Anacardiaceae	T4	E	0
Margindi	Margaritaria indica	(Dalz.) Airy shaw	NA	Euphorbiaceae	T3	D	0
Mastarbo	Mastixia arborea	(Wt.) Bedd.	NA	Cornaceae	T2	E	1
Maytemar	Maytenus emarginata	(Willd.) Ding Hou	NA	Celastraceae	T1	E	0
Maytroth	Maytenus rothiana	(Walp.) Ramam.	NA	Celastraceae	T1	E	1
Meiopann	Meiogyne pannosa	(Dalz.) Sinclair	NA	Annonaceae	T2	E	1
Melamala	Melastoma malabathricum	L.	NA	Melastomataceae	S	E	1
Melidubi	Melia dubia	Cav.	NA	Meliaceae	T4	D	0
Memeampl	Memecylon amplexicaule	Roxb.	NA	Melastomataceae	T1	E	0
Mememala	Memecylon malabaricum	(Cl.) Cogn.	NA	Melastomataceae	T1	E	1
Memetalb	Memecylon talbotianum	Brand.	NA	Melastomataceae	T1	E	1
Memeumbe	Memecylon umbellatum	N. Burman	NA	Melastomataceae	T2	E	0
Memewigh	Memecylon wightii	Thw.	NA	Melastomataceae	T1	E	0
Mesuferr	Mesua ferrea	L.	NA	Clusiaceae	T4	E	0
Meynlaxi	Meyna laxiflora	Robyns	NA	Rubiaceae	T1	E	0
Michcham	Michelia champaca	L.	NA	Magnoliaceae	T4	E	0
Micrstoc	Microtropis stocksii	Gamble	NA	Celastraceae	T1	E	1
Micrwall	Microtropis wallichiana	Wt.	NA	Celastraceae	T1	E	0
Milierio	Miliusa eriocarpa	Dunn.	NA	Annonaceae	T1	E	0
Militome	Miliusa tomentosa	(Roxb.) Sinclair	NA	Annonaceae	T3	D	0
Mimuelen	Mimusops elengi	L.	NA	Sapotaceae	T4	E	0
Mitrgran	Mitrephora grandiflora	Bedd.	NA	Annonaceae	T1	E	1
Mitrparv	Mitragyna parvifolia	(Roxb.) Korth.	NA	Rubiaceae	T3	D	0
Moulspic	Moullava spicata	Dalz.	NA	Fabaceae	L	E	1
Murrkoen	Murraya koenigii	(L.) Spreng.	NA	Rutaceae	T1	E	0
Mussfron	Mussaenda frondosa	Linn.	NA	Rubiaceae	L	E	0
Myridact	Myristica dactyloides	Gaertn.	NA	Myristicaceae	T3	E	0
Myrimala	Myristica malabarica	Lam.	NA	Myristicaceae	T4	E	1
Naricren	Naringi crenulata	(Roxb.) Nicolson	NA	Rutaceae	T1	E	0
Neolcada	Neolamarkia cadamba	(Roxb.) Bosser	Anthocephalus chinensis	Rubiaceae	T4	E	0
Neolscro	Neolitsea scrobiculata	Gamble	NA	Lauraceae	T2	E	0
Neolzeyl	Neolitsea zeylanica	(Nees) Merr.	NA	Lauraceae	T3	E	0
Neurmala	Neuropeltis malabarica	Oost.	NA	Convolvulaceae	L	E	1
Nilgbarb	Nilgirianthus barbatus	(Nees) Brem.	NA	Acanthaceae	T1	E	0
Nothbedd	Nothopegia beddomei	Gamble	NA	Anacardiaceae	T2	E	0
Nothfoet	Nothapodytes foetida	(Wt.) Sleumer	NA	Icacinaceae	T1	E	0
Nothrace	Nothopegia racemosa	(Dalz.) Ramam.	NA	Anacardiaceae	T2	E	0
Olaximbr	Olax imbricata	Roxb.	NA	Olacaceae	L	E	0
Oleadioi	Olea dioica	Roxb.	NA	Oleaceae	T3	E	0
Oroperyt	Orophea erythrocarpa	Bedd.	NA	Annonaceae	T1	E	1
Oropzeyl	Orophea zeylanica	J. Hk. & Thoms.	NA	Annonaceae	T1	E	0
Osyrquad	Osyris quadripartita	Salz. ex Decne.	NA	Santalaceae	T1	E	0
Ougeooje	Ougeinia oojeinensis	(Roxb.) Hochr.	NA	Fabaceae	T3	D	0
Pajalong	Pajanelia longifolia	(Willd.) Schum.	NA	Berberidaceae	T5	E	0
Palaelli	Palaquium ellipticum	(Dalz.) Baillon	NA	Sapotaceae	T4	E	1
Pandthwa	Pandanus thwaitesii	Mart.	NA	Pandanaceae	T1	E	0
