SpCode	Name	Author	Synonym	Family	Habit	Pheno	WGEnd
Tamaindi	Tamarindus indica	L.	NA	Fabaceae	T3	E	0
Tamiulig	Tamilnadia uliginosa	(Retz.) Tirven.	NA	Rubiaceae	T1	E	0
Tareasia	Tarenna asiatica	(L.) Kuntze ex K. Schum.	NA	Rubiaceae	S	E	0
Tectgran	Tectona grandis	L.f.	NA	Verbenaceae	T3	D	0
Termalat	Terminalia alata	Roth.	Terminalia tomentosa	Combretaceae	T4	D	0
Termbell	Terminalia bellirica	(Gaertn.) Roxb.	NA	Combretaceae	T4	D	0
Termcheb	Terminalia chebula	Retz.	NA	Combretaceae	T2	D	0
Termpani	Terminalia paniculata	Roth.	NA	Combretaceae	T3	D	0
Tetrnudi	Tetrameles nudiflora	R. Br.	NA	Datiscaceae	T4	D	0
Thunmyso	Thunbergia mysorensis	(Wt.) Anders.	NA	Acanthaceae	L	E	1
Toddasia	Toddalia asiatica	(L.) Lam.	NA	Rutaceae	L	E	0
Tooncili	Toona ciliata	Roemer	NA	Meliaceae	T3	E	0
Tremorie	Trema orientalis	(L.) Blume	NA	Ulmaceae	T2	E	0
Trewnudi	Trewia nudiflora	L.	NA	Euphorbiaceae	T2	E	0
Trewpoly	Trewia polycarpa	Benth.	NA	Euphorbiaceae	T2	E	0
Tricapio	Tricalysia apiocarpa	(Dalz.) Gamble	NA	Rubiaceae	T2	E	1
Tricconn	Trichilia connaroides	(Wt. & Arn.) Benth.	NA	Meliaceae	T3	E	0
Turpmala	Turpinia malabarica	Gamble	NA	Staphylaceae	T2	E	1
UnID	Unidentified	NA	NA	NA	NA	NA	NA
Uvarnaru	Uvaria narum	(Dunal) Wt. & Arn.	NA	Annonaceae	L	E	0
Vateindi	Vateria indica	L.	NA	Dipterocarpaceae	T5	E	1
Ventmade	Ventilago maderaspatana	Gaertn.	NA	Rhamnaceae	L	E	0
Veprbilo	Vepris bilocularis	(Wt. & Arn.) Engl.	NA	Rutaceae	T2	E	1
Vitaceae1	Vitaceae1	NA	NA	Vitaceae	L	E	0
Vitealti	Vitex altissima	L. f.	NA	Verbenaceae	T3	D	0
Walstrif	Walsura trifolia	A. Juss.	NA	Meliaceae	T2	E	0
Wendthyr	Wendlandia thyrsoidea	(Schultes) Steud.	NA	Rubiaceae	T1	E	0
Wrigarbo	Wrightia arborea	(Dennist.) Mabberley	NA	Apocynaceae	T1	D	0
Wrigtinc	Wrightia tinctoria	(Roxb.) R.Br	NA	Apocynaceae	T1	D	0
Xanttome	Xantolis tomentosa	(Roxb.) Raf.	NA	Sapotaceae	T3	E	0
Xylixylo	Xylia xylocarpa	(Roxb.) Taub.	NA	Fabaceae	T3	D	0
Zantoval	Zanthoxylum ovalifolium	Wt.	NA	Rutaceae	L	E	0
Zantrhet	Zanthoxylum rhetsa	(Roxb.) DC.	NA	Rutaceae	T2	D	0
Ziziglab	Ziziphus glaberrima	Sant.	NA	Rhamnaceae	L	E	0
Zizinumm	Ziziphus nummularia	Wt.	NA	Rhamnaceae	S	E	0
Zizioeno	Ziziphus oenoplia	(L.) Mill.	NA	Rhamnaceae	L	E	0
Zizirugo	Ziziphus rugosa	Lam.	NA	Rhamnaceae	T1	E	0
Zizixylo	Ziziphus xylopyrus	(Retz.) Willd.	NA	Rhamnaceae	T1	E	0
